Vertices;Pre-reqs;;;
AED I;LP;;;
AED II;AED I;;;
AL Comp;CN;;;
AL I;GA;;;
AL II;AL I;;;
Analise de Sinais;Series e EDO;;;
AOC;LP, CD;;;
AR I;CUV;;;
AR II;AR I;;;
BD;AED I;;;
CD;-;;;
CE I;-;;;
CE II;CE I, FenMag;;;
CN;GA;;;
Compiladores;LFA;;;
Computacao Grafica;AED I;;;
CSD;CE II;;;
CTS;-;;;
CTSA;-;;;
CUV;-;;;
CVV;GA;;;
Desenho Tecnico;-;;;
ED Parciais;Series e EDO, CUV;;;
EDO;AL I, Series e EDO;;;
Elem. De Alg.;-;;;
Embarcados;LP, CD;;;
Engenharia de Software;Prog OO;;;
Espacos Metricos;CVV, AL I;;;
FA;Series e EDO, CUV;;;
FBM;-;;;
FeCont;-;;;
FenMag;-;;;
FenMan Exp;FenMag;;;
FenMec;-;;;
Fund. De Adm.;-;;;
Fund. Elet. Aplicada;Intro aos Materiais Eletricos;;;
GA;-;;;
IA;AED I;;;
IHC e UX;Prog OO;;;
Inferencia e Analise de Regressao;Prob e Estatistica;;;
Intro a Economi;-;;;
Intro aos Materiais Eletricos;FenMag;;;
Intro GD;CVV;;;
Lab de AOC;AOC, Lab de CD;;;
Lab de CD;CD;;;
Lab de CE;CE I;;;
Lab de Comp;Lab de Eng. De Sist.;;;
Lab de Comunic. Dig.;Lab de SO;;;
Lab de Controle;CSD;;;
Lab de Eng. De Sist.;Lab de AOC;;;
Lab de SO;SO, Lab de Comp;;;
LFA;MD, LP;;;
LP;-;;;
MD;-;;;
MecG;FenMec, GA;;;
Metodos Numericos para Eq Dif.;AL I, CN, Series e EDO;;;
Otimizacao Inteira;Otimizacao Linear;;;
Otimizacao Linear;GA, LP;;;
Otimizacao nao-linear;CN, LP;;;
PAA;MD, AED II;;;
PCD;SO;;;
PEC;BD, Engenharia de Software;;;
Prob;Prob e Estatistica, CUV;;;
Prob e Estatistica;-;;;
Prog OO;AED I;;;
Proj OO;Prog OO;;;
QG;-;;;
Redes;Prog OO;;;
Seguranca da Info;SO;;;
Series e EDO;CUV;;;
SO;AED I;;;
TCC I;PEC;;;
TCC II;TCC I;;;
Teoria dos Grafos;PAA;;;
TNC;MD;;;
